video_id,physics_role,model,release_offset_frames,release_frame_used_0based,fit_status,fit_message,quality_warnings,fps,frame_count_total,frame_count_post_release,frame_count_geometry_valid,frame_count_geometry_excluded,optimization_point_count,duration_post_release_s,length_m,nominal_initial_angle_deg,theta0_deg_signed,omega0_assumed_rad_s,alpha1_s_inv,alpha2_rad_inv,omega2_s_inv2,omega2_over_g_over_l,alpha1_lower,alpha1_upper,alpha2_lower,alpha2_upper,omega2_lower,omega2_upper,parameter_at_bound,optimizer_success,optimizer_nfev,optimizer_cost,rmse_deg,weighted_rmse_deg_exploratory,early_rmse_deg,late_rmse_deg,residual_bias_deg,max_abs_residual_deg,late_equilibrium_offset_deg,frequency_initial_estimate_s_inv2,frequency_extrema_count,jacobian_rank,jacobian_parameter_count,jacobian_condition_number,median_marker_likelihood_post_release,median_abs_delta_deg_post_release,median_dlc_pivot_to_cad_px,p95_dlc_pivot_to_cad_px,csv_filename,dlc_scorer,csv_sha256,calibration_filename,calibration_sha256,weighting_status,interval_status,alpha1_s_inv_lower,alpha1_s_inv_upper,omega2_s_inv2_lower,omega2_s_inv2_upper,alpha2_rad_inv_lower,alpha2_rad_inv_upper
P001,labeled_train_source,M0_linear,0,132,success,`ftol` termination condition is satisfied.,effective_release_frame_used:132;led_release_frame:133,29.9969636267,3326,3194,3194,0,500,106.44410680146115,0.245,65,-66.08834551543674,0.0,0.062305906242851025,0.0,39.67778293855472,0.9912719246578502,0.0,0.5,,,8.005428571428572,64.04342857142858,False,True,59,0.38764312660616446,6.435533879078542,6.435533879078542,7.7092848696182115,6.0208421415394,-0.5084623809474192,15.286973304770866,0.4855756541446376,36.96501970354534,67,2,2,90.60006206410888,1.0,178.70477263082623,3.7934285793864797,5.428966502417813,P001DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,072E6CF871D8E6FC8B91B11DAA187735A80C3C8D07641CBB3716DFC579E1FF8D,P001_parameters.toml,604A53A71536EAF4FE8605B4AF4695BB7E6210A62D54C68E5C727DC33B208BE3,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,,
P001,labeled_train_source,M1_linear_quadratic,0,132,success,`xtol` termination condition is satisfied.,effective_release_frame_used:132;led_release_frame:133,29.9969636267,3326,3194,3194,0,500,106.44410680146115,0.245,65,-66.08834551543674,0.0,0.000831957188948102,0.015665349381549842,39.614323180138385,0.9896865065168946,0.0,0.5,0.0,0.5,8.005428571428572,64.04342857142858,False,True,20,0.10171710726131648,2.1148824073201165,2.1148824073201165,2.9342492386048002,1.6651882191596488,-0.5232789206647744,5.436106950434894,0.4855756541446376,36.96501970354534,67,3,3,318.2577147179156,1.0,178.70477263082623,3.7934285793864797,5.428966502417813,P001DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,072E6CF871D8E6FC8B91B11DAA187735A80C3C8D07641CBB3716DFC579E1FF8D,P001_parameters.toml,604A53A71536EAF4FE8605B4AF4695BB7E6210A62D54C68E5C727DC33B208BE3,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,0.0,0.5
P002,unlabeled_development,M0_linear,0,111,success,`ftol` termination condition is satisfied.,effective_release_frame_used:111;led_release_frame:112,29.9970006613,2767,2656,2656,0,500,88.50884893386333,0.165,20,-21.398467794500323,0.0,0.05213424485911582,0.0,57.65879219675645,0.970127486192004,0.0,0.5,,,11.886848484848485,95.09478787878788,False,True,25,0.02760489331233667,0.8397006504940157,0.8397006504940157,1.1282155142078039,0.7851455154588166,-0.41296281959203374,4.018760091741007,0.49456824664196436,56.83755464052263,83,2,2,11.099053123686348,1.0,179.30950735599146,3.4047623269804372,4.544843096948731,P002DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,C6EA722F402F261EE30A4EA020A24169192A4425CF7A04C0473EC0B76ABA0453,P002_parameters.toml,2BD9CB79D849BA10AB1E3C1806AB4A58D6CEE01B3FDBBE7AE9DE49B4AF7B8DD0,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,,
P002,unlabeled_development,M1_linear_quadratic,0,111,success,`xtol` termination condition is satisfied.,effective_release_frame_used:111;led_release_frame:112;parameter_at_bound,29.9970006613,2767,2656,2656,0,500,88.50884893386333,0.165,20,-21.398467794500323,0.0,0.05213426195218777,8.032868388149434e-18,57.65879226610135,0.9701274873587539,0.0,0.5,0.0,0.5,11.886848484848485,95.09478787878788,True,True,2,0.027604893312160782,0.839700615566376,0.839700615566376,1.128216236586885,0.7851441076784361,-0.41296282253346667,4.018760097511152,0.49456824664196436,56.83755464052263,83,3,3,27.65638603709228,1.0,179.30950735599146,3.4047623269804372,4.544843096948731,P002DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,C6EA722F402F261EE30A4EA020A24169192A4425CF7A04C0473EC0B76ABA0453,P002_parameters.toml,2BD9CB79D849BA10AB1E3C1806AB4A58D6CEE01B3FDBBE7AE9DE49B4AF7B8DD0,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,0.0,0.5
P004,unlabeled_development,M0_linear,0,95,success,`ftol` termination condition is satisfied.,effective_release_frame_used:95;led_release_frame:96,29.9970337861,3135,3040,3040,0,500,101.31001690601185,0.245,20,-19.823619478711635,0.0,0.035787887606374726,0.0,39.57226716897189,0.988635819204123,0.0,0.5,,,8.005428571428572,64.04342857142858,False,True,34,0.024152588308873027,0.7101265669411218,0.7101265669411218,0.7390528120173662,0.7488468616248758,-0.48842092754550887,2.0401552074651526,0.5207783508197896,39.470611228229686,69,2,2,9.788405564691866,1.0,179.4641827451102,0.8554196881828736,1.5107643916699178,P004DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,08DD7F1C097C429F8DC2EB416B0909A695220CB96CC4F22CAB916F7479C920CD,P004_parameters.toml,4462CC676AF4802D0B7B3AB9C140C089BC55ED3B6CB5AB9B4214AD24E8A69A14,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,,
P004,unlabeled_development,M1_linear_quadratic,0,95,success,`xtol` termination condition is satisfied.,effective_release_frame_used:95;led_release_frame:96,29.9970337861,3135,3040,3040,0,500,101.31001690601185,0.245,20,-19.823619478711635,0.0,0.03168712700813517,0.0035068067359919127,39.567744892624184,0.9885228389605957,0.0,0.5,0.0,0.5,8.005428571428572,64.04342857142858,False,True,12,0.02390402594346802,0.7067930643216735,0.7067930643216735,0.7425528297568251,0.7412805314969935,-0.4887208599558447,2.0325659568532113,0.5207783508197896,39.470611228229686,69,3,3,19.725062995619428,1.0,179.4641827451102,0.8554196881828736,1.5107643916699178,P004DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,08DD7F1C097C429F8DC2EB416B0909A695220CB96CC4F22CAB916F7479C920CD,P004_parameters.toml,4462CC676AF4802D0B7B3AB9C140C089BC55ED3B6CB5AB9B4214AD24E8A69A14,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,0.0,0.5
P005,labeled_train_source,M0_linear,0,119,success,`ftol` termination condition is satisfied.,effective_release_frame_used:119;led_release_frame:120,29.9969661325,3131,3012,3012,0,500,100.37681766549562,0.165,65,-61.65456941951811,0.0,0.06162278064266225,0.0,57.99000235016317,0.9757002021869775,0.0,0.5,,,11.886848484848485,95.09478787878788,False,True,65,0.21212880324480787,3.8229111649947423,3.8229111649947423,5.01251037009013,2.8829240389621558,-0.4530203018686971,9.991890832263243,0.39561176610102755,56.83742379201224,82,2,2,104.60679999843742,1.0,178.94564263551445,0.8284750352173615,1.9149009103748384,P005DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,3D063F561824747CCBBDA4EC03F5DB3A74779DDB4903B5C527A0C1FA2E435F0B,P005_parameters.toml,F9B42730D914DD2167D22BA495229E090B2AAF1C9359D6F8C68ED01E5D2F46A2,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,,
P005,labeled_train_source,M1_linear_quadratic,0,119,success,`xtol` termination condition is satisfied.,effective_release_frame_used:119;led_release_frame:120,29.9969661325,3131,3012,3012,0,500,100.37681766549562,0.165,65,-61.65456941951811,0.0,0.047977291852189144,0.0037601190772376986,57.82963155793885,0.97300191268781,0.0,0.5,0.0,0.5,11.886848484848485,95.09478787878788,False,True,14,0.12812101435727064,2.529324067858849,2.529324067858849,3.260190744305698,1.3265628285246533,-0.45424529905738625,6.242319581519207,0.39561176610102755,56.83742379201224,82,3,3,820.365518318038,1.0,178.94564263551445,0.8284750352173615,1.9149009103748384,P005DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,3D063F561824747CCBBDA4EC03F5DB3A74779DDB4903B5C527A0C1FA2E435F0B,P005_parameters.toml,F9B42730D914DD2167D22BA495229E090B2AAF1C9359D6F8C68ED01E5D2F46A2,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,0.0,0.5
P006,unlabeled_development,M0_linear,0,128,success,`ftol` termination condition is satisfied.,effective_release_frame_used:128;led_release_frame:129,29.9969279658,3027,2899,2899,0,500,96.6098929631747,0.32,20,-21.71122011855395,0.0,0.04349960105627837,0.0,31.02717846092152,1.0124453414259595,0.0,0.5,,,6.12915625,49.03325,False,True,31,0.028196399894897372,0.7556998305828637,0.7556998305828637,0.870561157209848,0.6941675136018235,-0.645909470734118,2.658090588825168,0.7054070126127729,30.72949781449181,61,2,2,7.913924451362815,1.0,179.46592222847926,3.581681112508479,4.744741288644249,P006DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,A88ABED8535F582C20B7F37DF37A6F84EFAD998876EFE4BBAB0C44FCF254892B,P006_parameters.toml,08F2A38FA53308C8D9640923ED52A73423A4603428E2723D8AB8A3871FBEEB34,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,,
P006,unlabeled_development,M1_linear_quadratic,0,128,success,`xtol` termination condition is satisfied.,effective_release_frame_used:128;led_release_frame:129;parameter_at_bound,29.9969279658,3027,2899,2899,0,500,96.6098929631747,0.32,20,-21.71122011855395,0.0,0.043499601497522855,4.2690755273513615e-13,31.027178487557737,1.0124453422951238,0.0,0.5,0.0,0.5,6.12915625,49.03325,True,True,2,0.028196399894965602,0.7556998239339094,0.7556998239339094,0.8705612425560253,0.6941674221281116,-0.6459094695465852,2.6580906305437817,0.7054070126127729,30.72949781449181,61,3,3,15.380633471289453,1.0,179.46592222847926,3.581681112508479,4.744741288644249,P006DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,A88ABED8535F582C20B7F37DF37A6F84EFAD998876EFE4BBAB0C44FCF254892B,P006_parameters.toml,08F2A38FA53308C8D9640923ED52A73423A4603428E2723D8AB8A3871FBEEB34,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,0.0,0.5
P009,labeled_train_source,M0_linear,0,82,success,`ftol` termination condition is satisfied.,effective_release_frame_used:82;led_release_frame:83,29.9969603543,3454,3372,3372,0,500,112.37805298218406,0.32,65,-69.24438612708971,0.0,0.06864146455560492,0.0,31.011063798529356,1.011919505185705,0.0,0.5,,,6.12915625,49.03325,False,True,49,0.3265553750227689,5.599088109608035,5.599088109608035,6.782043042077684,4.487852641867667,-0.9985543559707396,14.92747702120448,0.6169336769600461,28.99867443636046,59,2,2,67.51880072539731,1.0,179.04529390888578,8.930147542781668,9.27713523867536,P009DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,6A6E71DC755532E2E642D610A78C4FC866FACAF88FBA6934C3E4DA391C34FEB0,P009_parameters.toml,218424E53D1C56FE8EB036F8D3837C4C62F8A665C24BC4A4F3405DB0493CEE36,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,,
P009,labeled_train_source,M1_linear_quadratic,0,82,success,`xtol` termination condition is satisfied.,effective_release_frame_used:82;led_release_frame:83,29.9969603543,3454,3372,3372,0,500,112.37805298218406,0.32,65,-69.24438612708971,0.0,0.0496255377856669,0.006413744783278717,30.89699784227121,1.0081974282274566,0.0,0.5,0.0,0.5,6.12915625,49.03325,False,True,16,0.222153383234787,3.938877776868683,3.938877776868683,4.555290536003597,2.947998724178097,-1.0018515070372587,9.665240711751785,0.6169336769600461,28.99867443636046,59,3,3,60.06855811709328,1.0,179.04529390888578,8.930147542781668,9.27713523867536,P009DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,6A6E71DC755532E2E642D610A78C4FC866FACAF88FBA6934C3E4DA391C34FEB0,P009_parameters.toml,218424E53D1C56FE8EB036F8D3837C4C62F8A665C24BC4A4F3405DB0493CEE36,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,0.0,0.5
P010,fully_heldout_formal,M0_linear,0,103,success,Both `ftol` and `xtol` termination conditions are satisfied.,effective_release_frame_used:103;led_release_frame:104,29.9970234168,3460,3357,3357,0,500,111.87776711606837,0.32,20,-28.382418560850972,0.0,0.04576152349297579,0.0,30.983490247678883,1.011019754886454,0.0,0.5,,,6.12915625,49.03325,False,True,31,0.011703262503611086,0.48040895881511236,0.48040895881511236,0.6863500679257328,0.37961900717221114,0.12439164834786862,2.5009295969834042,0.1769429508623587,30.72969337891532,61,2,2,11.41542320789829,1.0,179.03250176523085,5.825954450714428,6.515775453046543,P010DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,55CEFFC1814AAE6A0B199BD156701F4AFB41CDC9404D58776402E115553DF07A,P010_parameters.toml,EFF97E8E8DA044F9DC567070BAA9119FDA8ED9411712AF49D5C19D0EE13FF1D5,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,,
P010,fully_heldout_formal,M1_linear_quadratic,0,103,success,`ftol` termination condition is satisfied.,effective_release_frame_used:103;led_release_frame:104,29.9970234168,3460,3357,3357,0,500,111.87776711606837,0.32,20,-28.382418560850972,0.0,0.04386593185582043,0.0013960331594687712,30.980374969465863,1.0109181004959977,0.0,0.5,0.0,0.5,6.12915625,49.03325,False,True,10,0.011513395761929645,0.4755135928113848,0.4755135928113848,0.6754619882602487,0.3906585142598266,0.12454300837431452,2.496581092060352,0.1769429508623587,30.72969337891532,61,3,3,26.871843345173975,1.0,179.03250176523085,5.825954450714428,6.515775453046543,P010DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,55CEFFC1814AAE6A0B199BD156701F4AFB41CDC9404D58776402E115553DF07A,P010_parameters.toml,EFF97E8E8DA044F9DC567070BAA9119FDA8ED9411712AF49D5C19D0EE13FF1D5,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,0.0,0.5
P011,fully_heldout_formal,M0_linear,0,94,success,`ftol` termination condition is satisfied.,effective_release_frame_used:94;led_release_frame:95,29.9968902745,3344,3250,3250,0,500,108.31122727284622,0.245,65,-69.95159169737943,0.0,0.06687473367936633,0.0,39.57316232551578,0.9886581829423265,0.0,0.5,,,8.005428571428572,64.04342857142858,False,True,71,0.4308617618803822,7.030357168884694,7.030357168884694,8.248925876707299,6.252227761797521,-0.22470439939297904,16.84185015608807,0.1808166105810471,36.96483892110098,67,2,2,90.64571766030521,1.0,178.7076293888249,2.6367900679057126,3.3105148495656134,P011DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,86C786373C2CD44BC807D98940A24CA2028ECA749CCF8B27EE0B46D33A8CBA2C,P011_parameters.toml,C9060EC1E6507812BD2970442AA10DA1F4690B32D67D1766D5963AD91AA6A773,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,,
P011,fully_heldout_formal,M1_linear_quadratic,0,94,success,`xtol` termination condition is satisfied.,effective_release_frame_used:94;led_release_frame:95,29.9968902745,3344,3250,3250,0,500,108.31122727284622,0.245,65,-69.95159169737943,0.0,0.05466804372810149,0.0041158302861949375,39.4188492052381,0.9848029709720786,0.0,0.5,0.0,0.5,8.005428571428572,64.04342857142858,False,True,23,0.3484994028722733,5.7028990200912,5.7028990200912,6.25860103094885,4.895805946003875,-0.22301339593516686,12.62013378943475,0.1808166105810471,36.96483892110098,67,3,3,111.47047299138796,1.0,178.7076293888249,2.6367900679057126,3.3105148495656134,P011DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,86C786373C2CD44BC807D98940A24CA2028ECA749CCF8B27EE0B46D33A8CBA2C,P011_parameters.toml,C9060EC1E6507812BD2970442AA10DA1F4690B32D67D1766D5963AD91AA6A773,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,0.0,0.5
P012,fully_heldout_formal,M0_linear,0,76,success,`ftol` termination condition is satisfied.,effective_release_frame_used:76;led_release_frame:77,29.9968979112,3320,3244,3244,0,500,108.11117901591933,0.165,45,-49.997015361823266,0.0,0.05792050534608465,0.0,60.28698007084184,1.0143475816602923,0.0,0.5,,,11.886848484848485,95.09478787878788,False,True,55,0.13207084247422432,2.6781199927602475,2.6781199927602475,3.780552505220817,1.6602624961588675,-0.5822636446083038,10.792506975395307,0.7649306643974073,56.83716526463244,84,2,2,75.79982777997975,1.0,179.07475713315387,1.9282400015410075,2.5940361624235337,P012DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,83293E36AD676F12608F576D73F34040EBD5F2C66EABF98BEB33612706B6EB59,P012_parameters.toml,39099CFCD31A11AD476F47C714BB8666479CF59E8DC0538CA294E1BA1ABCD2BB,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,,
P012,fully_heldout_formal,M1_linear_quadratic,0,76,success,`xtol` termination condition is satisfied.,effective_release_frame_used:76;led_release_frame:77,29.9968979112,3320,3244,3244,0,500,108.11117901591933,0.165,45,-49.997015361823266,0.0,0.04632739532422399,0.0035304147861414904,60.212220843486904,1.0130897339229339,0.0,0.5,0.0,0.5,11.886848484848485,95.09478787878788,False,True,22,0.10135325366614902,2.2095171912247493,2.2095171912247493,3.183722687566266,1.2737556944614683,-0.5827494414373541,10.665505041415587,0.7649306643974073,56.83716526463244,84,3,3,638.6491894337745,1.0,179.07475713315387,1.9282400015410075,2.5940361624235337,P012DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,83293E36AD676F12608F576D73F34040EBD5F2C66EABF98BEB33612706B6EB59,P012_parameters.toml,39099CFCD31A11AD476F47C714BB8666479CF59E8DC0538CA294E1BA1ABCD2BB,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,0.0,0.5
